<b>Anskrit</b>	6 Pages	2017
PREFACE - ivantic.info	134 Pages	2007
Result Attempt	68 Pages	2017
Prakrit Underlying Buddhistic Hybrid Sanskrit - Prajna Quest	17 Pages	2013
Is ''Hindu mathematics'' a European idea?/ Son las - Hal-SHS	17 Pages	2017
A Sanskrit-English Dictionary, Based Upon the St. Petersburg Lexicons	5 Pages	2017
<b>Anskrit</b>	6 Pages	2017
PREFACE - ivantic.info	134 Pages	2007
Result Attempt	68 Pages	2017
Prakrit Underlying Buddhistic Hybrid Sanskrit - Prajna Quest	17 Pages	2013
Is ''Hindu mathematics'' a European idea?/ Son las - Hal-SHS	17 Pages	2017
A Sanskrit-English Dictionary, Based Upon the St. Petersburg Lexicons	5 Pages	2017
